,batting_team,strike_rate,average,strike_rate_powerplay,strike_rate_middle,strike_rate_death,total_runs,runs_powerplay,runs_middle,runs_death
0,Chennai Super Kings,142.06642066420665,32.083333333333336,138.7962962962963,134.97506234413964,159.8331346841478,5005,1499,2165,1341
1,Gujarat Titans,137.38291229066138,29.333333333333332,125.57497700091996,131.38595400870105,164.5707376058041,4840,1365,2114,1361
2,Punjab Kings,138.98403483309144,25.06806282722513,133.52380952380952,128.8276745675849,164.86810551558753,4788,1402,2011,1375
3,Kolkata Knight Riders,145.0632149307646,27.85549132947977,141.50943396226415,141.4935064935065,157.89473684210526,4819,1500,2179,1140
4,Lucknow Super Giants,131.34831460674158,25.005347593582886,122.13039485766758,129.1154791154791,147.5682087781732,4676,1330,2102,1244
5,Delhi Capitals,135.09973206311403,22.91919191919192,143.20987654320987,125.88932806324111,142.00507614213197,4538,1508,1911,1119
6,Rajasthan Royals,139.1053391053391,29.21212121212121,136.42201834862385,127.7115987460815,166.15384615384616,4820,1487,2037,1296
7,Sunrisers Hyderabad,141.8700301617768,26.533333333333335,146.63120567375887,133.65617433414045,151.32641291810842,5174,1654,2208,1312
8,Mumbai Indians,145.1952367765162,27.594736842105263,140.37433155080214,141.79640718562874,158.73015873015873,5243,1575,2368,1300
9,Royal Challengers Bangalore,147.59327826829963,28.949720670391063,150.84586466165413,138.53779429987608,160.984393757503,5182,1605,2236,1341
